Timestamp,Point,Day of Week,Out_of_Office,Presurvey,Weekly_Survey,Before_Game_Baseline,In_Game_Baseline,Energy
2019-01-15 13:00:00,10.0,5,0,4.82,1.95,28.521539615384626,229.21215595800376,302.98997301584944
2019-01-15 14:00:00,10.0,5,0,4.82,1.95,28.508714230769233,298.33522493852485,499.9926784099433
2019-01-15 15:00:00,10.0,5,0,4.82,1.95,34.019105,308.2764781024842,429.1171557450045
2019-01-15 16:00:00,0.0,5,0,4.82,1.95,32.231666794871806,240.87445973643887,448.34081217110565
2019-01-15 17:00:00,7.287582874298098,5,0,4.82,1.95,32.26346153846155,119.9194027739865,112.59102922996121
2019-01-16 08:00:00,10.0,6,0,4.82,1.95,10.682692269358972,25.612444051941644,37.529345462692966
2019-01-16 09:00:00,0.0,6,0,4.82,1.95,13.772820499999998,61.09957900561113,117.27122226631188
2019-01-16 10:00:00,10.0,6,0,4.82,1.95,23.574230782051288,47.82747706431874,66.06129390710308
2019-01-16 11:00:00,1.179490089416504,6,0,4.82,1.95,28.29641039743591,147.61713967581164,209.08261731249505
2019-01-16 12:00:00,0.000293731689453125,6,0,4.82,1.95,27.88987164102565,127.69005818330795,189.76001158370164
2019-01-16 13:00:00,10.0,6,0,4.82,1.95,30.10294885897436,159.1062197485723,165.0245837691845
2019-01-16 14:00:00,10.0,6,0,4.82,1.95,28.945896025641037,232.42172992386108,334.89691765199404
2019-01-16 15:00:00,10.0,6,0,4.82,1.95,30.78487307692308,227.55534717168098,250.30380914843482
2019-01-16 16:00:00,0.0,6,0,4.82,1.95,28.57807692307692,174.58080251815238,248.59198780865842
2019-01-16 17:00:00,0.0,6,0,4.82,1.95,33.72666666666667,105.05648492223058,138.30739089091293
2019-01-17 08:00:00,1.060342788696289,4,0,4.82,1.95,8.531474358974357,50.664326661404374,65.31350437420275
2019-01-17 09:00:00,0.0,4,0,4.82,1.95,11.331923076923074,123.9132605427555,128.86467504992294
2019-01-17 10:00:00,10.0,4,0,4.82,1.95,26.189486910256413,93.28906515872416,103.51114246986515
2019-01-17 11:00:00,1.941148281097412,4,0,4.82,1.95,29.64820411525641,178.59975706128395,229.66724450612372
2019-01-17 12:00:00,0.023062705993652344,4,0,4.82,1.95,29.592628205128197,49.1636810881749,203.22870161486802
2019-01-17 13:00:00,7.009506225585938e-05,4,0,4.82,1.95,30.13596256410257,169.0997234179382,304.36911960619705
2019-01-17 14:00:00,10.0,4,0,4.82,1.95,30.004745256410256,356.37598969162474,383.83960692114164
2019-01-17 15:00:00,0.0,4,0,4.82,1.95,34.311729487307694,333.77273898088083,413.12364709654565
2019-01-17 16:00:00,0.0,4,0,4.82,1.95,31.939422948717947,281.16191051805515,279.065062448111
2019-01-17 17:00:00,0.006000995635986328,4,0,4.82,1.95,30.698589743589743,156.56451701065149,162.96768552355252
2019-01-18 08:00:00,0.003014564514160156,0,0,4.82,1.95,7.930641000000001,34.139274745812486,58.584796526933104
2019-01-18 09:00:00,0.0,0,0,4.82,1.95,10.78589743602564,127.45356547828646,130.48834264825507
2019-01-18 10:00:00,10.0,0,0,4.82,1.95,18.938846153846157,91.16977128859344,98.1467167090831
2019-01-18 11:00:00,1.0349009037017822,0,0,4.82,1.95,22.847948717948714,176.69223122732444,246.87275052578084
2019-01-18 12:00:00,9.97670841217041,0,0,4.82,1.95,26.524358974358968,165.72664050157118,70.30386830505336
2019-01-18 13:00:00,9.846623420715332,0,0,4.82,1.95,24.31500001282052,160.40961280150017,187.67549123071902
2019-01-18 14:00:00,10.0,0,0,4.82,1.95,25.474807807692304,350.45767870966864,382.2747448468747
2019-01-18 15:00:00,9.239126205444336,0,0,4.82,1.95,26.893204987179484,264.20709821400783,283.35336254283766
2019-01-18 16:00:00,0.0,0,0,4.82,1.95,26.57064103846153,276.11251201242527,282.0608676545983
2019-01-18 17:00:00,2.09808349609375e-05,0,0,4.82,1.95,26.405970256410257,145.87500230484838,161.65182367394917
2019-01-19 08:00:00,10.0,2,0,4.82,1.95,6.560512782179488,59.51438236253748,51.02418835806222
2019-01-19 09:00:00,0.0,2,0,4.82,1.95,6.4612820769230765,118.55802818050877,176.70219709480136
2019-01-19 10:00:00,10.0,2,0,4.82,1.95,6.5220512948717975,101.11521513182112,124.20657247709549
2019-01-19 11:00:00,9.994126319885254,2,0,4.82,1.95,7.012564089743588,207.4500646457376,164.90013334473392
2019-01-19 12:00:00,9.999998092651367,2,0,4.82,1.95,10.323203846153849,108.45468968469608,103.08987307614623
2019-01-19 13:00:00,10.0,2,0,4.82,1.95,8.487565384615385,261.2606503615657,247.7436751067167
2019-01-19 14:00:00,10.0,2,0,4.82,1.95,10.878719089743589,357.2651660680008,398.44569018165566
2019-01-19 15:00:00,10.0,2,0,4.82,1.95,10.176409115384617,362.5110799543647,377.3564998289254
2019-01-19 16:00:00,0.0,2,0,4.82,1.95,11.0275641025641,292.4018328410397,404.2715739615893
2019-01-19 17:00:00,9.99809741973877,2,0,4.82,1.95,11.056923076923082,158.45156443346187,64.17647200210399
2019-01-20 08:00:00,9.999999046325684,3,0,4.82,1.95,6.526794897435898,43.97074932297719,92.40787827574336
2019-01-20 09:00:00,0.0,3,0,4.82,1.95,6.1715384615384625,104.08801755535143,187.99537309032917
2019-01-20 10:00:00,10.0,3,0,4.82,1.95,6.655641012820514,77.35817747057426,148.4824838264782
2019-01-20 11:00:00,0.00560760498046875,3,0,4.82,1.95,6.773974371794873,191.31402678503204,357.4194224505958
2019-01-20 12:00:00,0.0,3,0,4.82,1.95,7.644743602564103,154.14482519548608,300.07580029718275
2019-01-20 13:00:00,10.0,3,0,4.82,1.95,7.025129461538459,147.1315193662379,243.94181984985713
2019-01-20 14:00:00,10.0,3,0,4.82,1.95,7.214229512820514,329.3023820517112,493.1033186293368
2019-01-20 15:00:00,0.0,3,0,4.82,1.95,7.133589743589742,259.41672945370146,480.3157507944633
2019-01-20 16:00:00,0.0,3,0,4.82,1.95,5.554230756410253,246.89071524492002,395.4307142573678
2019-01-20 17:00:00,9.916152954101562,3,0,4.82,1.95,7.786860256410253,130.4169441719324,96.31311449377134
2019-01-21 08:00:00,9.999029159545898,1,0,4.82,2.09,5.949807653846152,53.66664943347456,56.00816729693755
2019-01-21 09:00:00,0.0,1,0,4.82,2.09,11.048076935897436,135.70420629137206,123.89724276197285
2019-01-21 10:00:00,10.0,1,0,4.82,2.09,20.65320498717949,106.0346883649635,90.11377955791849
