Time Around Treatment,Treatment Number,Date,Day of Week,Hour,WorkGroup,Desk,TotalEnergy,Desk_Indicator,NetEnergy,Name,Deviation,Treatment0,Treatment1,Treatment2,Weekend_Indicator,Treatment_Indicator,cTAT,TreatmentArray,LoginCount,DurationCount
3,1,2018-08-01,Wednesday,5.0,WORKGROUP-01,DESK-3,706.54,13,25.559999999999945,Ken,169.93,A,A,B,0,0,-1,A,11.0,35.0
3,1,2018-08-01,Wednesday,6.0,WORKGROUP-01,DESK-3,708.38,13,1.8400000000000318,Ken,169.93,A,A,B,0,0,-1,A,11.0,35.0
3,1,2018-08-01,Wednesday,7.0,WORKGROUP-01,DESK-3,710.24,13,1.8600000000000136,Ken,169.93,A,A,B,0,0,-1,A,11.0,35.0
3,1,2018-08-01,Wednesday,8.0,WORKGROUP-01,DESK-3,712.1,13,1.8600000000000136,Ken,169.93,A,A,B,0,0,-1,A,11.0,35.0
3,1,2018-08-01,Wednesday,9.0,WORKGROUP-01,DESK-3,0.0,13,0.0,Ken,169.93,A,A,B,0,0,-1,A,11.0,35.0
3,1,2018-08-01,Wednesday,10.0,WORKGROUP-01,DESK-3,1.83,13,1.83,Ken,169.93,A,A,B,0,0,-1,A,11.0,35.0
3,1,2018-08-01,Wednesday,11.0,WORKGROUP-01,DESK-3,3.69,13,1.8599999999999999,Ken,169.93,A,A,B,0,0,-1,A,11.0,35.0
3,1,2018-08-01,Wednesday,12.0,WORKGROUP-01,DESK-3,4.76,13,1.0699999999999998,Ken,169.93,A,A,B,0,0,-1,A,11.0,35.0
3,1,2018-08-01,Wednesday,13.0,WORKGROUP-01,DESK-3,7.44,13,2.6800000000000006,Ken,169.93,A,A,B,0,0,-1,A,11.0,35.0
3,1,2018-08-01,Wednesday,14.0,WORKGROUP-01,DESK-3,9.3,13,1.8600000000000003,Ken,169.93,A,A,B,0,0,-1,A,11.0,35.0
3,1,2018-08-01,Wednesday,15.0,WORKGROUP-01,DESK-3,11.15,13,1.8499999999999996,Ken,169.93,A,A,B,0,0,-1,A,11.0,35.0
3,1,2018-08-01,Wednesday,16.0,WORKGROUP-01,DESK-3,13.01,13,1.8599999999999994,Ken,169.93,A,A,B,0,0,-1,A,11.0,35.0
3,1,2018-08-01,Wednesday,17.0,WORKGROUP-01,DESK-3,14.84,13,1.83,Ken,169.93,A,A,B,0,0,-1,A,11.0,35.0
