,Hour,Point,Energy
111,1,1.442906379699707,120.0
112,2,2.9841525554656982,200.0
113,3,2.657292366027832,210.0
114,4,2.0667572021484375,180.0
115,5,3.9161181449890137,250.0
116,6,2.7106258869171143,365.0
117,7,1.8350660800933838,310.0
118,8,3.739452362060547,220.0
119,9,3.1569879055023193,140.0
120,0,3.2777326107025146,95.0
121,1,2.0046372413635254,120.0
122,2,2.2999074459075928,200.0
123,3,1.2051043510437012,210.0
124,4,2.4456381797790527,180.0
125,5,2.2853901386260986,250.0
126,6,3.392784595489502,365.0
127,7,2.2571752071380615,310.0
128,8,2.3861823081970215,220.0
129,9,1.7481532096862793,140.0
130,0,0.9610133171081543,95.0
131,1,3.435962677001953,120.0
132,2,2.712904214859009,200.0
133,3,1.289595365524292,210.0
134,4,1.6256327629089355,180.0
135,5,2.9768428802490234,250.0
136,6,1.9742491245269775,365.0
137,7,1.7642521858215332,310.0
138,8,2.6085805892944336,220.0
139,9,1.903480052947998,140.0
140,0,1.8332016468048096,95.0
141,1,2.0802619457244873,120.0
142,2,1.7255995273590088,200.0
143,3,2.1841483116149902,210.0
144,4,2.354971170425415,180.0
145,5,2.5557515621185303,250.0
146,6,1.6519951820373535,365.0
147,7,1.3938055038452148,310.0
148,8,1.5144867897033691,220.0
149,9,2.461121082305908,140.0
150,0,1.6247737407684326,95.0
151,1,1.2746546268463135,120.0
152,2,1.5139210224151611,200.0
153,3,2.4915976524353027,210.0
154,4,1.48789644241333,180.0
155,5,2.203839063644409,250.0
156,6,1.82051682472229,365.0
157,7,2.203514814376831,310.0
158,8,1.4534544944763184,220.0
159,9,2.2304229736328125,140.0
160,0,2.2323055267333984,95.0
161,1,1.5299537181854248,120.0
162,2,2.0511114597320557,200.0
163,3,3.7482516765594482,210.0
164,4,1.6069855690002441,180.0
165,5,1.169327735900879,250.0
166,6,2.0457921028137207,365.0
167,7,1.853769302368164,310.0
168,8,1.1368341445922852,220.0
169,9,0.8657960891723633,140.0
170,0,1.3555455207824707,95.0
171,1,1.9005024433135986,120.0
172,2,2.416067361831665,200.0
173,3,2.716376304626465,210.0
174,4,1.8849682807922363,180.0
175,5,3.4441843032836914,250.0
176,6,1.906477928161621,365.0
177,7,1.9721145629882812,310.0
178,8,1.8844037055969238,220.0
179,9,1.9200656414031982,140.0
180,0,2.3889570236206055,95.0
181,1,2.2193968296051025,120.0
182,2,1.3179266452789307,200.0
183,3,1.2190895080566406,210.0
184,4,1.983361005783081,180.0
185,5,2.13606858253479,250.0
186,6,2.092365264892578,365.0
187,7,2.335665464401245,310.0
188,8,2.5849533081054688,220.0
189,9,1.5027906894683838,140.0
190,0,1.4749722480773926,95.0
191,1,2.487490177154541,120.0
192,2,2.625908374786377,200.0
193,3,2.2983362674713135,210.0
194,4,2.6261470317840576,180.0
195,5,2.4715402126312256,250.0
196,6,2.618069887161255,365.0
197,7,2.53702712059021,310.0
198,8,2.3710978031158447,220.0
199,9,2.8901097774505615,140.0
200,0,2.2716641426086426,95.0
201,1,1.2155556678771973,120.0
202,2,1.7950294017791748,200.0
203,3,2.8096749782562256,210.0
204,4,3.6367034912109375,180.0
205,5,3.46035099029541,250.0
206,6,1.6375741958618164,365.0
207,7,2.2087063789367676,310.0
208,8,1.9444630146026611,220.0
209,9,3.8417091369628906,140.0
210,0,2.5688936710357666,95.0
211,1,1.426741600036621,120.0
212,2,2.3995790481567383,200.0
213,3,0.867650032043457,210.0
214,4,2.8443548679351807,180.0
215,5,1.4879655838012695,250.0
216,6,1.6935734748840332,365.0
217,7,1.5408351421356201,310.0
218,8,2.7530925273895264,220.0
219,9,2.7092881202697754,140.0
220,0,2.316082715988159,95.0
221,1,2.2319018840789795,120.0
222,2,2.7615771293640137,200.0
223,3,3.476945400238037,210.0
224,4,2.866955041885376,180.0
225,5,2.445540428161621,250.0
226,6,2.0154290199279785,365.0
227,7,2.080589532852173,310.0
228,8,2.2896838188171387,220.0
229,9,2.8698294162750244,140.0
230,0,2.8090579509735107,95.0
231,1,2.1465911865234375,120.0
232,2,2.6234593391418457,200.0
233,3,2.0983824729919434,210.0
234,4,2.701472282409668,180.0
235,5,2.2026989459991455,250.0
236,6,2.802332878112793,365.0
237,7,3.0576260089874268,310.0
238,8,2.6096627712249756,220.0
239,9,3.163410186767578,140.0
240,0,2.977725028991699,95.0
241,1,3.1331896781921387,120.0
242,2,2.3901736736297607,200.0
243,3,2.2714498043060303,210.0
244,4,3.3758440017700195,180.0
245,5,2.8961338996887207,250.0
246,6,2.0883800983428955,365.0
247,7,2.170758008956909,310.0
248,8,1.6987988948822021,220.0
249,9,2.0850706100463867,140.0
250,0,1.9893920421600342,95.0
251,1,2.8660242557525635,120.0
252,2,2.6699490547180176,200.0
253,3,2.643033504486084,210.0
254,4,1.9796900749206543,180.0
255,5,2.138188123703003,250.0
256,6,2.354222536087036,365.0
257,7,1.786938190460205,310.0
258,8,3.66465163230896,220.0
259,9,2.3346900939941406,140.0
